source_id,pf,pf_error,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,radius_gspphot,ew_espels_halpha,spectraltype_esphs
4105982485837162496,1.3038081764805838,3.7289657E-5,5812.4214,3.595,-1.8292,1863.0155,2.5713,2.3568,0.2491746,O
5973058817250905600,5.916908727713415,4.7393757E-4,,,,,,,0.20350085,unknown
5832238384516068224,6.187514620388046,5.2630145E-4,5959.7563,2.9326,-0.0411,3997.4038,1.3645,9.3939,0.06532489,F
4062903822285623808,1.6844626393398505,4.4537726E-5,6820.026,4.0463,0.0041,1794.0734,2.8852,1.9043,0.071672685,unknown
5882388209429065344,4.863863692808613,2.162639E-4,6003.6543,3.4202,-0.0344,1790.3229,3.8898,4.4103,0.10688729,G
5882392057720494592,3.700958503531823,2.0232695E-4,5795.967,3.5902,-3.4935,1288.006,5.3911,2.3241,0.13548513,unknown
4152072840713183360,2.9368517308186366,2.4268029E-5,,,,,,,0.25075638,F
6070481457342308480,1.9500460580502035,1.0710949E-4,5871.08,3.0132,0.0818,3070.9197,0.1839,8.4571,0.083848305,F
5828480459918679936,1.9460509397739736,8.971952E-6,5637.991,2.8711,0.3282,981.3268,0.0048,10.2027,0.09723979,K
4360377693711966592,0.8116816724932249,9.5105844E-7,6082.461,3.1563,-1.1523,3003.8982,2.0942,5.5952,0.15765683,B
5278221481999140096,2.7528591589900415,5.0190407E-5,5824.486,4.6566,-0.7201,3220.3662,0.0027,0.6989,,
5278302089946913408,4.055659416071328,9.893849E-5,5242.9604,3.4265,-0.738,3627.8093,0.0899,2.9505,0.08230649,G
5278302944638212992,1.1225073897862998,1.2028646E-5,5776.596,4.639,-2.4061,2895.527,0.0322,0.6417,,
5278352426964444672,3.8182013008181035,4.4114533E-4,,,,,,,-0.010390264,F
5278432004118558976,0.9129846663506238,1.3750382E-6,6425.8203,4.3168,-1.3781,3369.9294,0.0974,1.0256,0.085363925,F
5278525634403075200,2.7263909798093082,1.9807663E-5,5552.5566,3.761,-0.7912,3315.6184,0.1298,1.9884,0.17404783,F
5278581121081056640,1.5818128433094345,5.4797038E-6,5670.2163,4.6592,-3.2825,2223.722,0.0151,0.6202,0.05766249,unknown
5278596793422657920,1.5332020631631156,1.967877E-5,5953.8896,4.5801,-1.993,2537.0557,0.0167,0.7011,0.26210964,unknown
5278607582381418368,1.9967224556601642,2.276495E-4,6621.3267,3.9959,-0.2732,3211.7397,0.543,1.8527,0.06547033,F
5329405672431387648,3.670656547111276,8.134395E-5,,,,,,,0.08512395,F
5329553797268123392,3.628896293690808,8.966847E-5,,,,,,,0.08320756,G
5329713123372088320,3.6110357313511865,9.095459E-5,,,,,,,0.09148548,G
5329778887909167232,2.5254545026569235,8.203927E-5,,,,,,,0.24846806,F
5329939274854213760,5.875260735585085,1.11727626E-4,5618.482,1.9735,-0.5419,3086.745,4.5133,33.9237,0.10372037,unknown
5329974119937794048,3.1395841969604574,5.158748E-5,,,,,,,0.18878268,O
3425576270732293632,2.6347163155921187,1.5049792E-4,5932.939,2.5689,-0.5189,2063.5264,1.8645,15.152,0.1263611,F
4064797219817769600,3.126863983068954,1.6366436E-4,4897.1597,2.7742,-0.7449,2955.042,1.9926,6.2432,-0.09709027,K
5867251679452872192,4.948229392878148,1.11947076E-4,,,,,,,0.1629593,unknown
4650722529506457472,1.3144756216402254,1.2238559E-5,6292.654,4.6594,-2.0009,4362.819,0.0085,0.6943,,
4650799151741878144,1.0400859442086074,1.001505E-5,5756.5635,4.6586,-2.9753,3063.1626,0.0071,0.6319,,
4650810494740144384,3.215881318056409,6.031265E-5,5795.986,3.7777,-0.3251,3682.7651,0.4634,2.2852,0.033140417,F
4650825784836315520,1.4759420579052835,1.6999886E-5,5638.4985,4.7329,-1.481,3225.5874,0.003,0.5951,,
4650826983115655168,2.7094194777333542,5.3052438E-5,6326.794,4.2176,-0.0449,2846.531,0.5153,1.3972,0.3219786,F
4650843514461095424,2.985899448902434,5.6913566E-5,6405.6597,4.0808,-0.6461,3427.3625,0.5194,1.682,0.27300292,F
4650847122235144192,0.8860468934908179,1.7388349E-5,5936.712,4.6695,-1.9201,3757.8174,0.005,0.6506,,
4650914398604598656,3.123453134045874,2.9283796E-5,5530.0913,4.0832,-0.3547,3031.6243,0.0622,1.8279,0.177979,F
4650942848470377344,5.549951028770532,2.7120026E-4,,,,,,,0.0913612,G
4650947826317648512,5.195503946852765,1.5087191E-4,,,,,,,0.19028704,G
4650948861425398400,5.340015188861124,8.111261E-5,5204.885,3.2584,-0.7967,3838.0952,0.0181,3.6035,0.046884757,G
4650948895785170048,4.333300049689681,1.3720647E-4,,,,,,,0.07936935,F
4650950304534592640,4.466499614533972,8.087682E-5,,,,,,,0.1593779,F
4650964048435298176,2.942578230971211,1.5795318E-4,6155.4346,3.7128,-0.4587,4109.2617,0.4239,2.5992,0.19070457,F
4650978823122432256,4.727335463496922,9.1153773E-4,5380.2896,3.5465,-0.5279,3402.6008,0.4361,2.9541,0.1316898,F
4650980850346879360,5.4474355849457785,2.0363969E-4,5305.0356,3.3489,-0.8743,3226.3064,0.2534,3.3125,0.10487118,G
4650985282752749184,2.3872164321855864,2.2797429E-5,6052.386,4.1563,-0.6574,2605.3474,0.6153,1.2577,-0.03922097,A
4651019569454482688,1.357573618979832,3.1710064E-5,5775.2676,4.6347,-3.8128,2255.8062,0.0897,0.6428,,
4651020222375084928,3.1589457433909827,2.444402E-4,5533.787,3.7444,-0.8649,3207.7942,0.2277,2.0065,0.26800826,G
4651043488158794752,4.608199188438096,5.2026622E-5,5812.4023,3.5705,-1.1809,3267.0364,0.5643,2.6756,0.21665542,G
4651048298521582080,2.9024074636015866,3.138043E-5,5445.174,3.737,-0.6697,3400.6511,0.1729,2.0687,0.21900342,F
4651051975015064832,3.677591478674415,2.1134444E-4,,,,,,,0.31976372,unknown
4651052284252618496,3.6866767339313538,6.5375396E-5,5526.504,4.0624,-0.2271,2894.9468,0.101,1.9321,0.061806705,F
4651054689434079104,2.981654562041004,5.5269957E-5,6201.649,3.9929,-1.3826,2517.1753,0.6318,1.4744,0.25977138,G
4651055200502364288,5.697427745655353,2.977287E-4,5957.375,3.3801,-0.4996,4346.145,0.3682,4.1199,0.14173882,F
4651056574892394368,3.226246864956315,5.915719E-5,5648.2515,3.7285,-1.0408,3116.5461,0.1925,2.0459,0.16180952,F
4651056682298840704,4.034684800078453,5.566264E-5,5545.258,4.0831,-0.5293,2478.0332,0.5337,1.7837,0.01231074,G
4271257706443978624,1.2996059298764893,9.585768E-6,6014.7056,4.3724,-1.4714,1080.2701,3.5839,1.006,0.38793516,unknown
4272044475728306944,1.0146084685565004,1.2430614E-5,,,,,,,,
